ZIP,Population_gt18_c,Laborer_c,Unemployment_c,Median_male_income,Median_female_income,Civilian_pop,Uninsured_c,Females_c,Commuters_c,Drive_alone_c,Carpooled_c,Pub_trans_c,Walked_c,Home_c,Travel_time,Median_income,Laborer_p,Unemployment_p,Uninsured_p,Females_p,Drive_alone_p,Carpooled_p,Pub_trans_p,Walked_p,Home_p,mpg_min,mpg_mean,mpg_max,mpg_std,curbwt_mean,mcycle_frac,hybrid_frac,mpd_std,mpd_max,mpd_min,mpd_mean,car_frac,truck_frac,suv_frac,msrp_std,msrp_max,msrp_mean,vehicles,msrp_min,gender_income_inequality
1001,14235.0,9736.0,635.0,54204.0,43884.0,16818.0,685.0,7694.0,8949.0,7897.0,608.0,0.0,226.0,142.0,19.6,63682.0,68.4,4.5,4.1,7694.0,88.2,6.8,0.0,2.5,1.6,0.0,19.2079129379,51.0,6.68022797795,3443.64014973,0.339621706041,0.379285554922,131.376088814,22817.74,0.0,24.1327216837,55.4351867919,12.9899105084,18.7163786906,9370.62344343,261000.0,22880.8845038,40339.0,0.0,10320.0
1002,25455.0,16062.0,1332.0,65333.0,47111.0,28581.0,912.0,13011.0,14488.0,8276.0,1163.0,1427.0,1781.0,1597.0,20.7,56175.0,63.1,5.2,3.2,13011.0,57.1,8.0,9.8,12.3,11.0,0.0,22.236971026,58.0,6.97600635074,3227.96155461,0.0723183875332,3.64391359119,151.397889948,29715.0,0.0,24.1103881864,71.4575654365,5.60817431064,13.1409508702,7667.94836623,112000.0,22019.362665,42866.0,0.0,18222.0
1003,11242.0,4861.0,1023.0,48274.0,27868.0,11286.0,139.0,6202.0,3838.0,656.0,227.0,99.0,1761.0,1045.0,15.0,165865.0,43.2,9.1,1.2,6202.0,17.1,5.9,2.6,45.9,27.2,13.0,23.0479452055,32.0,4.87262896085,3245.89041096,0.0,0.0,849.356582727,10279.5,0.0,91.2656164384,80.8219178082,0.0,15.0684931507,8501.94342728,58000.0,20726.0273973,146.0,0.0,20406.0
1005,4077.0,3016.0,289.0,63456.0,47656.0,5069.0,28.0,2031.0,2618.0,2033.0,319.0,0.0,30.0,230.0,37.4,75856.0,74.0,7.1,0.6,2031.0,77.7,12.2,0.0,1.1,8.8,0.0,18.046158549,51.0,8.15270097504,3470.34848176,0.519665783574,1.20236396984,348.542039685,33327.33,0.0,33.0461076014,44.24291828,24.6484613817,18.1984919503,8819.38310995,87000.0,21759.2215203,9814.0,0.0,15800.0
1007,11479.0,8689.0,569.0,62309.0,45639.0,14593.0,218.0,5701.0,7927.0,6580.0,663.0,56.0,85.0,480.0,27.9,77617.0,75.7,5.0,1.5,5701.0,83.0,8.4,0.7,1.1,6.1,0.0,18.7521876745,51.0,7.49782060856,3474.37561508,0.452163736468,0.992100433545,139.516705528,19126.69,0.0,27.3265563742,47.2963268346,18.4270021544,20.8580471846,8891.39809314,98000.0,22482.2991196,37597.0,0.0,16670.0
1008,973.0,740.0,28.0,54524.0,43083.0,1156.0,22.0,488.0,676.0,587.0,61.0,0.0,7.0,21.0,31.3,78313.0,76.1,2.9,1.9,488.0,86.8,9.0,0.0,1.0,3.1,0.0,16.1721170396,33.0,7.39784485048,3736.83304647,0.745840504877,0.172117039587,43.9944008795,1148.81,0.0,24.8369363167,27.5387263339,38.1526104418,23.9816408491,8845.61467057,50000.0,23096.9592656,1743.0,0.0,11441.0
1009,516.0,390.0,90.0,63867.0,53167.0,636.0,47.0,253.0,300.0,216.0,33.0,0.0,9.0,42.0,31.0,48472.0,75.6,17.4,7.4,253.0,72.0,11.0,0.0,3.0,14.0,0.0,18.8543371522,32.0,7.20747132678,3428.06873977,0.0,0.0,49.3281605334,928.4,0.0,27.2188134206,48.52700491,21.9312602291,19.3126022913,8160.06248291,52000.0,21203.7643208,1222.0,0.0,10700.0
1010,2861.0,2195.0,187.0,63617.0,42440.0,3610.0,96.0,1451.0,1929.0,1608.0,98.0,0.0,0.0,205.0,33.3,79891.0,76.7,6.5,2.7,1451.0,83.4,5.1,0.0,0.0,10.6,0.0,17.8793311037,51.0,7.59509472151,3564.54849498,0.347826086957,1.01672240803,73.6659570307,3709.09,0.0,29.563522408,40.6555183946,24.508361204,21.4983277592,8960.56198496,73000.0,22899.7993311,7475.0,0.0,21177.0
1011,1076.0,782.0,62.0,53587.0,31750.0,1326.0,36.0,538.0,709.0,575.0,95.0,0.0,14.0,20.0,35.4,59732.0,72.7,5.8,2.7,538.0,81.1,13.4,0.0,2.0,2.8,0.0,16.4265402844,47.0,7.26290487294,3721.56398104,0.118483412322,0.177725118483,63.4448990328,1704.36,0.0,27.2418838863,28.672985782,36.0781990521,25.5924170616,9370.54608909,65000.0,23028.436019,1688.0,0.0,21837.0
1012,437.0,311.0,20.0,41442.0,36607.0,506.0,18.0,207.0,291.0,260.0,16.0,0.0,0.0,15.0,35.2,56033.0,71.2,4.6,3.6,207.0,89.3,5.5,0.0,0.0,5.2,0.0,16.7644268775,34.0,7.91198614073,3508.85375494,0.948616600791,1.18577075099,391.442743424,13713.0,0.0,40.0514703557,35.0988142292,31.2252964427,21.7391304348,9256.26813434,68000.0,22178.6561265,1265.0,0.0,4835.0
1013,17410.0,10775.0,1123.0,42027.0,33877.0,21602.0,749.0,9086.0,9514.0,8194.0,652.0,206.0,280.0,159.0,20.1,41612.0,61.9,6.5,3.5,9086.0,86.1,6.9,2.2,2.9,1.7,0.0,20.2350287721,57.0,5.94709297832,3400.45596411,0.180434994636,0.258460938262,150.027383362,21107.9,0.0,23.591420316,59.6020676875,12.6304496245,18.3165902663,7751.34353517,88000.0,21862.6499561,41012.0,0.0,8150.0
1020,25628.0,16615.0,1587.0,50945.0,38904.0,30763.0,910.0,13270.0,14706.0,12375.0,1274.0,114.0,416.0,362.0,21.5,51438.0,64.8,6.2,3.0,13270.0,84.1,8.7,0.8,2.8,2.5,0.0,18.6505991433,58.0,7.56771122125,3268.62495256,0.436479965298,0.260261345768,163.909812596,28461.0,0.0,24.5087575232,53.856476712,13.0090007049,17.4564875563,9285.93740026,135000.0,21056.4984005,73772.0,0.0,12041.0
1022,2355.0,1336.0,257.0,58417.0,42035.0,2481.0,70.0,1335.0,1079.0,995.0,49.0,0.0,22.0,13.0,22.0,57750.0,56.7,10.9,2.8,1335.0,92.2,4.5,0.0,2.0,1.2,0.0,19.8825806452,50.0,8.22950992521,2996.93548387,0.161290322581,0.387096774194,184.013518268,7318.92,0.0,35.8922612903,63.7741935484,4.64516129032,16.7419354839,9006.55285079,93000.0,19622.2580645,3100.0,0.0,16382.0
1026,898.0,575.0,36.0,40000.0,49107.0,1032.0,39.0,454.0,510.0,369.0,45.0,10.0,20.0,57.0,33.2,51932.0,64.0,4.0,3.8,454.0,72.4,8.8,2.0,3.9,11.2,0.0,17.4153354633,51.0,9.41782692961,3199.68051118,0.239616613419,0.718849840256,58.0054149105,1298.0,0.0,26.3691214058,48.4025559105,23.8019169329,11.1821086262,9213.72352388,47000.0,20513.5782748,1252.0,0.0,-9107.0
1027,15066.0,11022.0,789.0,48274.0,41672.0,17607.0,852.0,7910.0,9922.0,8300.0,710.0,73.0,252.0,355.0,22.8,57134.0,73.2,5.2,4.8,7910.0,83.7,7.2,0.7,2.5,3.6,0.0,19.8217252536,57.0,7.08644005344,3379.82249038,0.568380552641,0.883175935642,67.9754597393,6343.0,0.0,23.5115612977,54.0180132914,16.0611227702,18.4067855894,8056.60207224,75000.0,21655.1460301,45744.0,0.0,6602.0
1028,12426.0,8535.0,513.0,64382.0,44857.0,15406.0,301.0,6451.0,7885.0,6874.0,556.0,0.0,93.0,362.0,22.1,82451.0,68.7,4.1,2.0,6451.0,87.2,7.1,0.0,1.2,4.6,0.0,19.2896410901,51.0,6.32957311028,3518.86175031,0.136129218042,0.604727872457,159.026005383,23834.09,0.0,24.7106960915,53.527579256,11.5814550119,22.3539883243,9633.24190711,139000.0,24286.3163957,38199.0,0.0,19525.0
1029,524.0,320.0,40.0,54375.0,48068.0,601.0,14.0,247.0,280.0,243.0,3.0,0.0,0.0,34.0,31.4,61250.0,61.1,7.6,2.3,247.0,86.8,1.1,0.0,0.0,12.1,0.0,14.7304492512,32.0,8.25977529746,3582.69550749,0.166389351082,0.166389351082,247.929562373,5988.5,0.0,33.7052079867,29.2845257903,29.9500831947,26.1231281198,11148.7760757,90000.0,22407.6539101,601.0,0.0,6307.0
1030,9047.0,6565.0,370.0,57634.0,47297.0,11096.0,231.0,4595.0,6048.0,5532.0,382.0,14.0,20.0,88.0,22.9,73611.0,72.6,4.1,2.1,4595.0,91.5,6.3,0.2,0.3,1.5,0.0,19.0797117851,51.0,6.61848166736,3475.76580655,0.248981439565,0.464010864645,560.193173193,70738.0,0.0,28.8492172174,52.1955636034,14.1164931341,21.4689904934,8789.87414093,100000.0,22939.1504451,26508.0,0.0,10337.0
1031,1265.0,780.0,134.0,40486.0,53047.0,1540.0,78.0,612.0,624.0,528.0,24.0,0.0,6.0,66.0,42.8,46650.0,61.7,10.6,5.1,612.0,84.6,3.8,0.0,1.0,10.6,0.0,17.6957462149,50.0,7.75544331964,3355.08291276,0.504686373468,0.28839221341,60.0270475655,1416.4,0.0,27.0573756309,40.8074981975,21.4131218457,23.2155731795,9204.22418695,53000.0,20987.7433309,1387.0,0.0,-12561.0
1032,536.0,386.0,19.0,44083.0,43750.0,626.0,25.0,284.0,353.0,291.0,28.0,0.0,0.0,34.0,31.2,65833.0,72.0,3.5,4.0,284.0,82.4,7.9,0.0,0.0,9.6,0.0,16.3919308357,51.0,8.56405482572,3403.74639769,1.08069164265,0.0720461095101,622.120463885,22409.34,0.0,47.058962536,32.492795389,31.5561959654,17.8674351585,9467.91557958,47000.0,20870.3170029,1388.0,0.0,333.0
1033,5115.0,3671.0,133.0,58669.0,35726.0,6174.0,237.0,2787.0,3450.0,3006.0,106.0,69.0,25.0,237.0,26.2,72731.0,71.8,2.6,3.8,2787.0,87.1,3.1,2.0,0.7,6.9,0.0,17.9106236035,54.0,7.49710138622,3541.49231498,0.352088834721,0.467194799919,272.057764771,32655.0,0.0,26.2568772429,42.9142122012,24.2873586566,20.008125127,9087.46628194,121000.0,22442.6162909,14769.0,0.0,22943.0
1034,1587.0,1112.0,102.0,57321.0,42826.0,1945.0,59.0,767.0,976.0,795.0,83.0,3.0,20.0,72.0,30.6,70625.0,70.1,6.4,3.0,767.0,81.5,8.5,0.3,2.0,7.4,0.0,17.0705848459,51.0,8.0371204127,3600.51858254,0.259291270527,1.03716508211,177.970210085,10111.0,0.0,28.4450216076,37.4531835206,31.5182944396,18.3808700663,9452.26066465,78000.0,22785.9406511,3471.0,0.0,14495.0
1035,4438.0,2944.0,122.0,49884.0,42113.0,5043.0,128.0,2306.0,2704.0,2222.0,151.0,15.0,71.0,180.0,19.0,77891.0,66.3,2.7,2.5,2306.0,82.2,5.6,0.6,2.6,6.7,0.0,19.3563983533,58.0,8.03064827795,3382.35963913,0.376631339231,1.61163177717,86.7024300654,5075.53,0.0,25.3537374091,52.3867916265,18.7264605413,15.3542962249,8883.46166859,133000.0,21939.2134536,11417.0,0.0,7771.0
1036,4286.0,3029.0,214.0,60694.0,43289.0,5012.0,103.0,2187.0,2767.0,2448.0,234.0,0.0,7.0,78.0,25.5,82417.0,70.7,5.0,2.1,2187.0,88.5,8.5,0.0,0.3,2.8,0.0,17.9436236744,51.0,7.31283834076,3553.67533762,0.199401794616,0.607269101786,54.2842558124,3169.25,0.0,24.3674775673,43.6418018671,19.1153811293,24.5082933019,9679.22533395,233000.0,23739.8712952,11033.0,0.0,17405.0
1037,548.0,343.0,26.0,77917.0,41458.0,662.0,0.0,248.0,274.0,192.0,15.0,0.0,50.0,17.0,29.7,115250.0,62.6,4.7,0.0,248.0,70.1,5.5,0.0,18.2,6.2,0.0,17.4603174603,51.0,8.12512565139,3650.18315018,0.3663003663,0.915750915751,68.0534675861,2067.84,0.0,28.5255433455,33.0891330891,32.6007326007,22.2832722833,9579.50861503,71000.0,22983.5164835,1638.0,0.0,36459.0
1038,2115.0,1543.0,107.0,57174.0,44402.0,2676.0,108.0,1093.0,1415.0,1197.0,150.0,11.0,20.0,37.0,22.3,61346.0,73.0,5.1,4.0,1093.0,84.6,10.6,0.8,1.4,2.6,0.0,18.2342045688,51.0,8.29476359941,3299.85593744,0.699732455238,1.58468820745,487.301367659,33844.88,0.0,33.7862996501,46.573369006,20.5186252315,16.4437126981,9234.09211538,83000.0,21329.9032723,4859.0,0.0,12772.0
